,CONSTITUENTSYSTEMID,DAYSDIFF,r_percentile,count_gifts,f_percentile,total_giving,m_percentile,RFM,Rank_Pct
13642,393CCD10-3299-4B20-B457-F13855A9440A,107,0.9243243243243243,50,0.8855969893944577,21428.0,0.9334245638043106,2.7433458775230926,95.6759715380405
12557,C673E932-01C2-40FC-A246-F63E14BAE200,89,0.9435511460827917,80,0.9404721176873075,6430.0,0.8591857680465276,2.743209031816627,95.66912972085386
13177,F35A9D56-7B94-4FDB-8812-93413521503C,105,0.9276086212795074,61,0.9135135135135135,11330.0,0.901539514197742,2.742661648990763,95.6622879036672
13304,6D04192F-51E8-4668-A44B-CFCFD91AC157,89,0.9435511460827917,51,0.8885391720834759,13091.8,0.9102976394115635,2.742387957577831,95.65544608648057
13220,7CF08CB8-21D0-4FC1-96BB-CACA0DC9B7ED,140,0.9040711597673623,74,0.9336982552172426,11976.25,0.9045501197399931,2.742319534724598,95.6451833607006
14201,4D62C12D-F65F-4DF0-8502-6ABB776BB1F3,266,0.8728019158398905,54,0.8978446801231611,59000.0,0.9716729387615464,2.742319534724598,95.6451833607006
13437,2DE78FDB-7307-4BB9-AAD4-19F75946460F,156,0.8970236058843654,68,0.9255559356825179,15622.57,0.9193978788915498,2.741977420458433,95.63492063492063
13830,A10543A7-39D1-419C-AD55-E26AA6BF3534,367,0.8500855285665412,85,0.9453985631200821,29422.5,0.9462880602121109,2.741772151898734,95.62807881773398
12615,983B89EF-55E0-4D35-A72D-7595BBB761E5,89,0.9435511460827917,75,0.9345877523092713,6726.47,0.8631542935340404,2.741293191926103,95.62123700054734
13582,6415BEBA-66D9-4752-976A-9F3AB3627A2F,89,0.9435511460827917,44,0.868012316113582,19550.0,0.9293191926103318,2.740882654806706,95.6143951833607
14334,392D194F-5A0D-4CCE-9BE0-A9F3B6B2B4C0,820,0.7750940814231954,182,0.9848785494355115,85320.0,0.9807731782415327,2.7407458091002397,95.60755336617406
14037,AEE94C00-D43D-47A2-95ED-0100EED389B1,225,0.8793705097502565,55,0.9007184399589463,42014.81,0.9604515908313377,2.7405405405405405,95.60071154898742
12441,71657240-699C-4828-AF0C-44AF3DD1310A,52,0.9775573041395826,60,0.9116660964762231,5860.0,0.8511802942182689,2.7404036948340744,95.59044882320744
13139,B01434F0-EB47-46DC-9FD4-0B3428404363,89,0.9435511460827917,54,0.8978446801231611,10945.0,0.8990078686281218,2.7404036948340744,95.59044882320744
12465,3ACB32AD-39DE-4B35-872D-78FCA6249BB5,112,0.9202873759835786,116,0.9669517618884708,5975.0,0.8528908655490934,2.7401300034211427,95.58018609742747
12904,C779FDEC-7B97-4528-899B-64402A239514,89,0.9435511460827917,61,0.9135135135135135,8494.5,0.8829284981183715,2.739993157714677,95.57334428024083
13277,B589D3DF-2A09-4FA1-B26D-4EDAC8FFE50A,357,0.8537803626411221,144,0.9773520355798837,12747.0,0.908450222374273,2.7395826205952787,95.56650246305419
13171,BBA1D90D-323E-4602-A0EC-36D78018D9FF,290,0.8680807389668149,124,0.9703044816968868,11275.0,0.9010605542251112,2.739445774888813,95.55966064586754
